168: S = 233; I = 427; R = 49372
169: S = 232; I = 411; R = 49389
170: S = 232; I = 395; R = 49405
171: S = 232; I = 379; R = 49421
172: S = 231; I = 365; R = 49436
173: S = 231; I = 350; R = 49451
174: S = 231; I = 337; R = 49465
175: S = 230; I = 323; R = 49478
176: S = 230; I = 311; R = 49491
177: S = 230; I = 299; R = 49504
178: S = 229; I = 287; R = 49516
179: S = 229; I = 276; R = 49527
180: S = 229; I = 265; R = 49538
181: S = 229; I = 255; R = 49549
182: S = 228; I = 245; R = 49559
183: S = 228; I = 235; R = 49569
184: S = 228; I = 226; R = 49578
185: S = 228; I = 217; R = 49587
186: S = 227; I = 209; R = 49596
187: S = 227; I = 201; R = 49604
188: S = 227; I = 193; R = 49612
189: S = 227; I = 185; R = 49620
190: S = 227; I = 178; R = 49627
191: S = 227; I = 171; R = 49634
192: S = 226; I = 164; R = 49641
193: S = 226; I = 158; R = 49648
194: S = 226; I = 152; R = 49654
195: S = 226; I = 146; R = 49660
196: S = 226; I = 140; R = 49666
197: S = 226; I = 135; R = 49672
198: S = 226; I = 129; R = 49677
199: S = 225; I = 124; R = 49682
200: S = 225; I = 120; R = 49687
201: S = 225; I = 115; R = 49692
202: S = 225; I = 110; R = 49697
203: S = 225; I = 106; R = 49701
204: S = 225; I = 102; R = 49705
205: S = 225; I = 98; R = 49709
206: S = 225; I = 94; R = 49713
207: S = 225; I = 90; R = 49717
208: S = 224; I = 87; R = 49721
209: S = 224; I = 84; R = 49724
210: S = 224; I = 80; R = 49727
211: S = 224; I = 77; R = 49731
212: S = 224; I = 74; R = 49734
213: S = 224; I = 71; R = 49737
214: S = 224; I = 68; R = 49740
215: S = 224; I = 66; R = 49742
216: S = 224; I = 63; R = 49745
217: S = 224; I = 61; R = 49747
218: S = 224; I = 58; R = 49750
219: S = 224; I = 56; R = 49752
220: S = 224; I = 54; R = 49754
221: S = 224; I = 52; R = 49757
222: S = 224; I = 50; R = 49759
223: S = 224; I = 48; R = 49761
224: S = 223; I = 46; R = 49763
225: S = 223; I = 44; R = 49764
226: S = 223; I = 42; R = 49766
227: S = 223; I = 41; R = 49768
228: S = 223; I = 39; R = 49769
229: S = 223; I = 38; R = 49771
230: S = 223; I = 36; R = 49773
231: S = 223; I = 35; R = 49774
232: S = 223; I = 33; R = 49775
233: S = 223; I = 32; R = 49777
234: S = 223; I = 31; R = 49778
235: S = 223; I = 30; R = 49779
236: S = 223; I = 28; R = 49780
237: S = 223; I = 27; R = 49782
238: S = 223; I = 26; R = 49783
239: S = 223; I = 25; R = 49784
240: S = 223; I = 24; R = 49785
241: S = 223; I = 23; R = 49786
242: S = 223; I = 22; R = 49787
243: S = 223; I = 22; R = 49788
244: S = 223; I = 21; R = 49788
245: S = 223; I = 20; R = 49789
246: S = 223; I = 19; R = 49790
247: S = 223; I = 18; R = 49791
248: S = 223; I = 18; R = 49792
249: S = 223; I = 17; R = 49792
250: S = 223; I = 16; R = 49793
251: S = 223; I = 16; R = 49794
252: S = 223; I = 15; R = 49794
253: S = 223; I = 14; R = 49795
254: S = 223; I = 14; R = 49795
255: S = 223; I = 13; R = 49796
256: S = 223; I = 13; R = 49796
257: S = 223; I = 12; R = 49797
258: S = 223; I = 12; R = 49797
259: S = 223; I = 11; R = 49798
260: S = 223; I = 11; R = 49798
261: S = 223; I = 11; R = 49799
262: S = 223; I = 10; R = 49799
263: S = 223; I = 10; R = 49800
264: S = 223; I = 9; R = 49800
265: S = 223; I = 9; R = 49800
266: S = 223; I = 9; R = 49801
267: S = 223; I = 8; R = 49801
268: S = 223; I = 8; R = 49801
269: S = 223; I = 8; R = 49802
270: S = 223; I = 7; R = 49802
271: S = 223; I = 7; R = 49802
272: S = 223; I = 7; R = 49803
273: S = 223; I = 7; R = 49803
274: S = 223; I = 6; R = 49803
275: S = 223; I = 6; R = 49803
276: S = 223; I = 6; R = 49804
277: S = 223; I = 6; R = 49804
278: S = 223; I = 5; R = 49804
279: S = 223; I = 5; R = 49804
280: S = 223; I = 5; R = 49805
281: S = 223; I = 5; R = 49805
282: S = 223; I = 5; R = 49805
283: S = 223; I = 4; R = 49805
284: S = 222; I = 4; R = 49805
285: S = 222; I = 4; R = 49805
286: S = 222; I = 4; R = 49806
287: S = 222; I = 4; R = 49806
288: S = 222; I = 4; R = 49806
289: S = 222; I = 3; R = 49806
290: S = 222; I = 3; R = 49806
291: S = 222; I = 3; R = 49806
292: S = 222; I = 3; R = 49806
293: S = 222; I = 3; R = 49807
294: S = 222; I = 3; R = 49807
295: S = 222; I = 3; R = 49807
296: S = 222; I = 3; R = 49807
297: S = 222; I = 3; R = 49807
298: S = 222; I = 2; R = 49807
299: S = 222; I = 2; R = 49807
300: S = 222; I = 2; R = 49807
301: S = 222; I = 2; R = 49807
302: S = 222; I = 2; R = 49808
303: S = 222; I = 2; R = 49808
304: S = 222; I = 2; R = 49808
305: S = 222; I = 2; R = 49808
306: S = 222; I = 2; R = 49808
307: S = 222; I = 2; R = 49808
308: S = 222; I = 2; R = 49808
309: S = 222; I = 2; R = 49808
310: S = 222; I = 1; R = 49808
311: S = 222; I = 1; R = 49808
312: S = 222; I = 1; R = 49808
313: S = 222; I = 1; R = 49808
314: S = 222; I = 1; R = 49808
315: S = 222; I = 1; R = 49808
316: S = 222; I = 1; R = 49808
317: S = 222; I = 1; R = 49808
318: S = 222; I = 1; R = 49808
319: S = 222; I = 1; R = 49809
320: S = 222; I = 1; R = 49809
321: S = 222; I = 1; R = 49809
322: S = 222; I = 1; R = 49809
323: S = 222; I = 1; R = 49809
324: S = 222; I = 1; R = 49809
325: S = 222; I = 1; R = 49809
326: S = 222; I = 1; R = 49809
327: S = 222; I = 1; R = 49809
328: S = 222; I = 1; R = 49809
329: S = 222; I = 1; R = 49809
330: S = 222; I = 1; R = 49809
331: S = 222; I = 1; R = 49809
332: S = 222; I = 1; R = 49809
333: S = 222; I = 1; R = 49809
334: S = 222; I = 1; R = 49809
335: S = 222; I = 1; R = 49809
336: S = 222; I = 1; R = 49809
337: S = 222; I = 1; R = 49809
338: S = 222; I = 0; R = 49809
339: S = 222; I = 0; R = 49809
340: S = 222; I = 0; R = 49809
341: S = 222; I = 0; R = 49809
342: S = 222; I = 0; R = 49809
343: S = 222; I = 0; R = 49809
344: S = 222; I = 0; R = 49809
345: S = 222; I = 0; R = 49809
346: S = 222; I = 0; R = 49809
347: S = 222; I = 0; R = 49809
348: S = 222; I = 0; R = 49809
349: S = 222; I = 0; R = 49809
350: S = 222; I = 0; R = 49809
351: S = 222; I = 0; R = 49809
352: S = 222; I = 0; R = 49809
353: S = 222; I = 0; R = 49809
354: S = 222; I = 0; R = 49809
355: S = 222; I = 0; R = 49809
356: S = 222; I = 0; R = 49809
357: S = 222; I = 0; R = 49809
358: S = 222; I = 0; R = 49809
359: S = 222; I = 0; R = 49809
360: S = 222; I = 0; R = 49809
361: S = 222; I = 0; R = 49809
362: S = 222; I = 0; R = 49809
363: S = 222; I = 0; R = 49809
364: S = 222; I = 0; R = 49809
365: S = 222; I = 0; R = 49809
366: S = 222; I = 0; R = 49809
367: S = 222; I = 0; R = 49809
368: S = 222; I = 0; R = 49809
369: S = 222; I = 0; R = 49809
370: S = 222; I = 0; R = 49809
371: S = 222; I = 0; R = 49809
372: S = 222; I = 0; R = 49809
373: S = 222; I = 0; R = 49809
374: S = 222; I = 0; R = 49809
375: S = 222; I = 0; R = 49809
376: S = 222; I = 0; R = 49809
377: S = 222; I = 0; R = 49809
378: S = 222; I = 0; R = 49810
379: S = 222; I = 0; R = 49810
380: S = 222; I = 0; R = 49810
381: S = 222; I = 0; R = 49810
382: S = 222; I = 0; R = 49810
